weather,clear,clear,clear,clear,clear,clear,clear,clear,clear,clear,clear,clear,clear,clear,clear,clear,clear,clear,clear,clear,clear,clear,clear,foggy,foggy,foggy,foggy,foggy,foggy,foggy,foggy,foggy,foggy,overcast,overcast,overcast,overcast,overcast,overcast,overcast,overcast,overcast,overcast,overcast,overcast,overcast,overcast,overcast,partly cloudy,partly cloudy,partly cloudy,partly cloudy,partly cloudy,partly cloudy,partly cloudy,partly cloudy,partly cloudy,partly cloudy,partly cloudy,partly cloudy,partly cloudy,rainy,rainy,rainy,rainy,rainy,rainy,rainy,rainy,rainy,rainy,rainy,rainy,rainy,rainy,rainy,rainy,rainy,rainy,rainy,rainy,rainy,rainy,rainy,snowy,snowy,snowy,snowy,snowy,snowy,snowy,snowy,snowy,snowy,snowy,snowy,snowy,snowy,snowy,snowy,snowy,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
timeofday,dawn/dusk,dawn/dusk,dawn/dusk,dawn/dusk,dawn/dusk,dawn/dusk,dawn/dusk,daytime,daytime,daytime,daytime,daytime,daytime,daytime,night,night,night,night,night,night,night,undefined,undefined,dawn/dusk,dawn/dusk,dawn/dusk,dawn/dusk,daytime,daytime,daytime,night,night,night,dawn/dusk,dawn/dusk,dawn/dusk,dawn/dusk,dawn/dusk,daytime,daytime,daytime,daytime,daytime,daytime,night,night,night,night,dawn/dusk,dawn/dusk,dawn/dusk,dawn/dusk,dawn/dusk,daytime,daytime,daytime,daytime,daytime,night,night,night,dawn/dusk,dawn/dusk,dawn/dusk,dawn/dusk,dawn/dusk,daytime,daytime,daytime,daytime,daytime,daytime,daytime,night,night,night,night,night,night,undefined,undefined,undefined,undefined,undefined,dawn/dusk,dawn/dusk,dawn/dusk,dawn/dusk,daytime,daytime,daytime,daytime,daytime,daytime,night,night,night,night,night,undefined,undefined,dawn/dusk,dawn/dusk,dawn/dusk,dawn/dusk,dawn/dusk,daytime,daytime,daytime,daytime,daytime,daytime,daytime,night,night,night,night,night,night,undefined,undefined,undefined,undefined,undefined,undefined
scene,city street,gas stations,highway,parking lot,residential,tunnel,undefined,city street,gas stations,highway,parking lot,residential,tunnel,undefined,city street,gas stations,highway,parking lot,residential,tunnel,undefined,parking lot,residential,city street,highway,parking lot,residential,city street,highway,residential,city street,highway,residential,city street,highway,parking lot,residential,undefined,city street,gas stations,highway,parking lot,residential,undefined,city street,highway,parking lot,residential,city street,highway,parking lot,residential,undefined,city street,gas stations,highway,parking lot,residential,city street,highway,residential,city street,highway,parking lot,residential,undefined,city street,gas stations,highway,parking lot,residential,tunnel,undefined,city street,highway,parking lot,residential,tunnel,undefined,highway,parking lot,residential,tunnel,undefined,city street,highway,parking lot,residential,city street,gas stations,highway,parking lot,residential,undefined,city street,highway,parking lot,residential,undefined,city street,residential,city street,highway,parking lot,residential,undefined,city street,gas stations,highway,parking lot,residential,tunnel,undefined,city street,highway,parking lot,residential,tunnel,undefined,city street,highway,parking lot,residential,tunnel,undefined
category,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bike,False,True,True,True,False,True,True,False,True,False,True,False,True,True,False,True,False,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,False,True,False,True,False,True,True,True,True,True,False,True,True,True,True,False,True,False,True,False,True,True,True,False,True,True,True,True,False,True,False,True,False,True,True,False,True,True,True,True,True,True,True,True,True,True,False,True,True,True,False,True,False,True,False,True,False,True,True,True,True,True,True,False,True,True,False,True,False,True,False,True,False,True,True,False,True,True,True,True,True,True,True,True,True,True,True
bus,False,True,False,True,False,True,True,False,True,False,False,False,True,True,False,True,False,True,False,True,False,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,True,True,False,True,False,True,False,True,True,True,True,True,False,False,True,True,True,False,True,False,True,False,True,True,True,False,False,True,True,True,False,True,False,True,False,True,True,False,False,True,True,True,True,True,True,True,True,True,False,True,True,True,False,True,False,True,False,True,False,False,True,True,True,True,True,False,True,True,True,True,False,True,False,True,False,True,True,False,True,True,True,True,True,True,True,True,True,False,True
car,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
motor,False,True,False,True,False,True,True,False,True,False,True,False,True,True,False,True,False,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,False,True,False,True,False,True,True,True,True,True,False,False,True,True,True,False,True,False,True,False,True,True,True,True,True,True,True,True,False,True,True,True,False,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,False,True,True,True,True,True,True,False,True,True,True,True,False,True,False,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True
person,False,True,False,True,False,True,True,False,True,False,False,False,True,False,False,True,False,False,False,True,False,True,True,True,True,True,True,False,True,True,False,True,True,False,False,True,False,True,False,True,False,False,False,True,False,True,True,True,False,False,True,False,True,False,True,False,True,False,False,True,True,False,True,True,True,True,False,True,False,True,False,True,True,False,False,True,False,True,True,True,True,True,True,True,False,True,True,False,False,True,False,True,False,False,False,False,True,False,True,False,True,False,False,True,False,True,False,True,False,False,False,True,False,False,False,True,False,True,True,False,True,False,True,False,False
rider,False,True,False,True,True,True,True,False,True,False,True,False,True,True,False,True,False,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,False,True,False,True,False,True,True,True,True,True,False,True,True,True,True,False,True,False,True,False,True,True,True,False,True,True,True,True,False,True,False,True,False,True,True,False,True,True,True,True,True,True,True,True,True,True,False,True,True,True,False,True,True,True,True,True,False,True,True,True,True,True,True,False,True,True,True,True,False,True,False,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True
traffic light,False,True,False,False,False,True,True,False,True,False,False,False,True,False,False,True,False,False,False,True,False,True,True,False,True,True,True,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False,False,False,False,True,True,False,False,True,False,True,False,True,False,False,False,False,False,True,False,False,True,False,True,False,True,False,True,False,True,False,False,False,True,False,True,False,True,True,True,True,True,False,False,True,False,False,True,False,True,False,True,False,False,True,False,True,True,True,False,False,True,False,True,False,True,False,False,False,True,False,False,False,True,False,True,False,True,False,True,True,False,True
traffic sign,False,True,False,False,False,True,True,False,True,False,False,False,True,False,False,False,False,False,False,True,False,True,True,False,False,True,True,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False,False,False,False,True,True,False,False,True,False,True,False,True,False,False,False,False,False,True,False,False,True,False,True,False,True,False,False,False,True,False,False,False,True,False,True,False,True,True,True,True,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,True,True,False,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True
train,True,True,True,True,True,True,True,False,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
truck,False,True,False,True,False,True,True,False,True,False,False,False,True,False,False,True,False,False,False,True,False,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,False,True,False,True,False,False,False,True,False,True,True,True,False,False,True,False,True,False,True,False,True,False,False,True,True,False,False,True,False,True,False,True,False,True,False,True,True,False,False,True,False,True,True,True,True,True,True,True,False,False,True,False,False,True,False,True,False,True,False,False,True,False,True,True,True,False,False,True,False,True,False,True,False,True,False,False,True,False,False,True,True,True,True,True,True,True,True,False,True
